Gene ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
ENSG00000010282.15,11,0,0,1,0,0,2,0,1,2,1,1,5,2,0,0,5,5,0,0,1,21,0,0,2,2,1,2,2,1,1,0,1,4,2,1,1,14,1,0
ENSG00000010292.13,1783,5569,7829,840,2187,8664,7471,4934,5817,2212,617,4514,1249,3115,2468,1617,3001,1820,3227,2972,10489,8428,1415,6440,1299,3691,899,3129,4225,1714,4511,1891,2291,805,794,2274,1732,16945,1518,1796
ENSG00000010295.20,1382,1038,1699,243,732,604,943,1573,797,2657,168,3131,596,718,1125,324,1145,708,86,1066,1340,2561,247,2137,559,910,516,1297,1175,256,1036,668,1042,1482,556,797,1405,1539,419,901
ENSG00000010310.9,194,12,22,45,22,28,23,10,198,367,29,47,109,34,68,83,587,19,0,11,10,71,17,13,55,90,809,122,11,57,3760,1077,251,641,62,56,61,36,86,240
ENSG00000010318.21,549,849,602,288,354,850,809,670,639,681,152,874,395,1066,451,205,504,493,231,630,1079,1058,251,2479,424,584,479,330,1443,401,1339,1144,665,525,286,329,602,1414,321,256
ENSG00000010319.7,57,39,62,15,24,9,38,8,86,45,9,987,45,5,9,2,85,2197,16,7,78,89,17,87,48,17,164,13,65,33,70,39,11,50,131,5,20,64,25,21
ENSG00000010322.16,9631,5052,5747,2123,5510,9238,10315,10115,6016,11177,4069,16780,4934,6798,7239,1273,3931,7882,812,3362,7577,5718,4409,3786,4586,4869,4728,3122,4299,4012,4007,2821,4298,5329,3026,3736,2822,8532,3589,3621
ENSG00000010327.10,1318,14627,9423,6762,5286,7343,20816,78428,1646,10716,11309,494924,226,35971,2840,115,9611,368,102,868,17529,3744,32708,329,3445,224,8640,2705,4004,6589,31,106,1846,13783,9974,6211,670,4893,670,2805
ENSG00000010361.14,452,450,688,167,286,480,881,785,306,850,161,616,121,265,358,171,353,230,105,379,528,478,85,231,165,278,177,183,305,217,440,187,270,128,152,125,314,686,266,234
ENSG00000010379.16,199,7,9,32,12,12,28,3,68,79,10,20,54,1,10,0,11,34,1,1,6,149,36,685,20,7,10,26,23,11,1,23,197,32,8,10,73,25,153,31
ENSG00000010404.18,2470,1904,1579,1144,1527,6002,1773,4631,1424,9649,1991,1916,910,4986,1828,220,1468,664,294,642,4044,939,2835,1247,1022,2049,981,892,406,1179,2567,790,1583,1017,1105,1032,624,1541,1355,1313
ENSG00000010438.17,11,2,8,11,6,7,4,0,1,26,2,40,10,1,3,1,5,6,0,3,4,5,1,3,3,8,4,3,1,2,0,0,6,1,0,4,3,7,6,2
ENSG00000010539.12,146,237,271,796,127,269,197,78,154,471,365,337,573,352,279,27,157,416,8,40,88,583,314,257,113,207,188,238,237,149,147,373,353,55,95,219,108,443,361,531
ENSG00000010610.10,158,2344,1128,701,716,1751,990,3986,1267,10021,1572,697,796,59831,2253,1264,5863,89,5655,192,4235,1959,3660,70272,775,298,11617,820,3486,303,23432,20350,1765,1644,468,658,1746,6587,747,1011
ENSG00000010626.15,448,489,420,140,240,172,431,527,201,354,198,408,99,321,283,70,235,178,97,164,670,556,112,506,139,297,292,131,315,168,400,601,144,76,104,74,218,270,146,106
ENSG00000010671.16,2338,4851,4500,1013,2218,7977,3350,5946,2382,2486,325,4261,282,2224,2098,1328,3373,48,1355,2682,6276,5968,509,6081,1082,3463,1291,2469,7586,1111,4278,2671,2414,1197,2273,1262,1954,6292,1062,1651
ENSG00000010704.18,54,28,35,31,37,21,26,35,48,68,2,2,24,37,22,7,47,21,7,2,3,89,44,129,36,19,11,36,8,36,10,39,24,36,11,37,96,128,22,6
ENSG00000010803.16,2570,2387,1177,985,885,5228,2615,1867,1875,1609,669,4431,1144,1325,813,1210,1319,1839,959,2376,4155,2233,1135,3655,1418,3036,946,1670,1480,1429,1036,2068,1013,876,994,804,2978,2963,776,2224
ENSG00000010810.17,2847,1836,2895,2397,1048,5049,539,973,2485,19141,484,3380,6269,960,2089,149,2847,1121,455,409,2726,2018,1723,2672,1811,4209,632,4749,1656,2236,236,788,6254,1842,2266,3315,1770,5406,3379,3013
ENSG00000010818.10,2362,3973,5076,1430,738,3618,1942,105,1143,18001,505,5347,4779,265,894,126,1521,1459,75,347,779,2378,1427,206,1313,900,293,4502,764,1524,25,240,3723,247,855,3134,1055,1412,2266,1889
ENSG00000010932.17,6,4,10,4,1,35,17,2,9,2,4,7,4,30,2,1,5,4,4,7,44,34,15,130,7,6,6,3,8,9,17,7,3,8,4,3,2,39,5,13
ENSG00000011007.12,2303,1104,1133,2394,1075,8209,4466,1994,2613,2825,1402,4486,2247,4349,1328,491,994,5146,873,2948,4283,3110,2137,4688,642,2869,910,1459,1037,1334,2992,1947,1411,488,1046,1118,847,5956,1428,1141
ENSG00000011009.11,1949,802,1072,746,617,3289,2297,2650,1319,2403,599,1775,1115,2066,756,370,1202,1765,674,1298,2987,1157,1625,5310,431,834,886,809,1086,635,2234,1126,1238,620,569,694,671,3610,1113,837
ENSG00000011021.23,4894,1673,1803,2981,1257,3368,2413,1927,2268,5097,1155,2597,1566,2371,1370,350,3689,1546,457,950,1485,1576,1139,1440,1422,1547,2940,2282,1287,1569,2244,1759,2722,1751,1083,1472,5772,2726,3952,2861
ENSG00000011028.14,1840,3221,3948,115,671,2898,11104,643,1169,705,55,17191,2487,248,870,315,414,4975,148,1168,2239,1160,2606,13070,219,5869,1105,249,7379,1361,4619,449,1715,1518,289,129,179,5561,1033,1064
ENSG00000011052.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000011083.9,14,10,23,45,4,1,6,6,12,60,22,7,8,2,8,0,11,16,0,0,6,1,0,0,3,1,2,3,3,1,0,12,3,11,7,4,19,3,24,17
ENSG00000011105.14,9,415,16,77,8,131,17,16,86,284,3,41,98,15,30,137,7,68,4,6,32,94,29,14,22,247,56,87,25,10,8,19,8,11,180,53,6,44,28,356
ENSG00000011114.15,2051,1854,1724,1121,666,3005,2464,1791,1012,3164,717,2825,1842,3207,1143,404,1315,1188,748,781,1665,2502,1990,2151,1287,2326,841,1982,2578,1632,2703,2649,1609,1220,673,1152,3992,4445,1362,1960
ENSG00000011132.12,763,283,634,678,384,1471,528,717,536,2479,332,942,755,390,275,180,406,609,195,465,1104,647,311,1521,404,479,364,587,369,194,178,311,855,249,481,292,305,1106,798,389
ENSG00000011143.19,204,478,1063,83,140,219,445,387,239,303,60,529,220,183,1097,104,297,267,60,352,501,723,130,562,118,339,145,174,605,292,195,171,141,133,64,244,597,1113,102,140
ENSG00000011198.10,1879,2496,1532,1040,10341,2140,2960,955,2972,1983,4134,1675,2282,2110,4824,629,1932,1994,233,415,2470,2855,2064,988,1959,1124,1988,1105,959,1636,1527,1346,1359,2735,2474,4668,1997,13046,5246,1329
ENSG00000011201.12,8,1,0,1,1,0,4,2,13,41,0,9,0,1,3,1,2,2,125,1,6,1,0,150,0,0,2,0,2,0,2,1,0,206,1,4,2,5,2,7
ENSG00000011243.18,8764,2479,1725,3233,2529,6555,6944,3460,4656,5159,2903,3780,2886,2990,3387,748,1781,5167,658,2603,3260,2398,1941,1142,2889,2059,3579,2264,2232,1976,3420,2901,2210,1308,2406,1601,3548,7725,3513,2557
ENSG00000011258.16,2272,3289,2620,1906,2022,4528,2427,2194,1958,4699,1288,4142,2082,1603,1971,761,1839,1868,440,1289,1600,3911,1370,2856,2517,5336,1287,4423,4447,3452,3692,3378,3379,1684,2194,1946,4734,4376,2930,4086
ENSG00000011260.14,2234,1733,1276,1057,1528,3095,2565,2106,1859,1481,1026,2568,1077,1873,1399,498,1128,1534,427,1194,2199,2743,794,2531,2065,2138,1052,1735,1729,1257,1294,1383,1192,1103,1347,1189,1698,4283,1358,1367
ENSG00000011275.19,8259,3916,3646,5332,4147,5497,5878,3778,4488,15465,3490,5926,6171,3580,1963,805,3429,7769,762,1473,2879,3344,2610,3659,3590,4279,4360,4263,3375,3663,5747,5534,5636,2227,3889,2715,5543,4233,4318,4673
ENSG00000011295.16,5404,3315,2615,1889,2692,6346,5120,2582,2449,3467,2653,2780,2671,3448,2537,630,3079,3357,651,1370,6579,3375,1604,3556,2634,3955,2602,2913,3168,3568,3232,2869,2012,2319,2263,2090,2051,4849,2683,3256
